p	ー
;	ん
~	～
h/	。
j/	、
-	；
jh	・
/h	…
/n	←
/m	↑
/,	↓
/.	→
j[	『
j]	』
[	「
]	」
h	っ
d	あ
id	あ
l	い
l/	い
a	う
i	う
i/	う
f	え
if	え
s	お
is	お
ld	や
la	ゆ
lf	いぇ
/lf	𛀁
ls	よ
g	わ
g/	わ
ga	わう
ga/	わう
gaf	うぃ
/ga	ゐ
gas	うゅ
/gas	ゐゅ
gf	うぇ
/gf	ゑ
gs	を
/gs	うぉ
kd	か
t	き
t/	き
k	く
k/	く
kf	け
ks	こ
td	きゃ
ta	きゅ
tf	きぇ
ts	きょ
jkd	が
jt	ぎ
jt/	ぎ
jk	ぐ
jk/	ぐ
jkf	げ
jks	ご
jtd	ぎゃ
jta	ぎゅ
jtf	ぎぇ
jts	ぎょ
,d	さ
v	し
v/	し
,	す
,/	す
,f	せ
,s	そ
vd	しゃ
va	しゅ
vf	しぇ
vs	しょ
,a	すう
,a/	すう
,af	すぃ
,as	すゅ
j,d	ざ
jv	じ
jv/	じ
j,	ず
j,/	ず
j,f	ぜ
j,s	ぞ
jvd	じゃ
jva	じゅ
jvf	じぇ
jvs	じょ
j,a	ずう
j,a/	ずう
j,af	ずぃ
j,as	ずゅ
e	た
e/	た
r	ち
r/	ち
x	つ
x/	つ
ef	て
es	と
rd	ちゃ
ra	ちゅ
rf	ちぇ
rs	ちょ
xd	つぁ
xa	つう
xa/	つう
xaf	つぃ
xf	つぇ
xs	つぉ
eaf	てぃ
eas	てゅ
ea	とぅ
ea/	とぅ
je	だ
je/	だ
jr	ぢ
jr/	ぢ
jx	づ
jx/	づ
jef	で
jes	ど
jrd	ぢゃ
jra	ぢゅ
jrf	ぢぇ
jrs	ぢょ
jxd	づぁ
jxa	づう
jxa/	づう
jxaf	づぃ
jxf	づぇ
jxs	づぉ
jeaf	でぃ
jeas	でゅ
jea	どぅ
jea/	どぅ
nd	な
m	に
m/	に
n	ぬ
n/	ぬ
nf	ね
ns	の
md	にゃ
ma	にゅ
mf	にぇ
ms	にょ
c	は
c/	は
b	ひ
b/	ひ
w	ふ
w/	ふ
cf	へ
cs	ほ
bd	ひゃ
ba	ひゅ
bf	ひぇ
bs	ひょ
wd	ふぁ
wa	ふう
wa/	ふう
waf	ふぃ
was	ふゅ
wf	ふぇ
ws	ふぉ
jw	ゔ
jw/	ゔ
jwd	ゔぁ
/jwd	わ゙
jwa	ゔう
jwa/	ゔう
jwa	ゔぃ
/jwa	ゐ゙
jwas	ゔゅ
/jwas	ゐ゙ゅ
jwf	ゔぇ
/jwf	ゑ゙
jws	ゔぉ
/jws	を゙
qd	ぱ
.	ぴ
./	ぴ
q	ぷ
q/	ぷ
qf	ぺ
qs	ぽ
.d	ぴゃ
.a	ぴゅ
.f	ぴぇ
.s	ぴょ
jqd	ば
j.	び
j./	び
jq	ぶ
jq/	ぶ
jqf	べ
jqs	ぼ
j.d	びゃ
j.a	びゅ
j.f	びぇ
j.s	びょ
ud	ま
y	み
y/	み
u	む
u/	む
uf	め
us	も
yd	みゃ
ya	みゅ
yf	みぇ
ys	みょ
zd	ら
o	り
o/	り
z	る
z/	る
zf	れ
zs	ろ
od	りゃ
oa	りゅ
of	りぇ
os	りょ
:d	ぁ
:l	ぃ
:l/	ぃ
:a	ぅ
:f	ぇ
:s	ぉ
:k	ㇰ
:q	ㇷ゚
:ld	ゃ
:la	ゅ
:ls	ょ
:g	ゎ
